"","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","cnt"
"1",1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,31
"2",1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,28
"3",1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,36
"4",1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,39
"5",1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,40
"6",1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,40
"7",1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,38
"8",1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,30
"9",1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,28
"10",1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,36
"11",1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,35
"12",1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,34
"13",1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,37
"14",1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,37
"15",1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,35
"16",1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,34
"17",1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,31
"18",1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,26
"19",1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,40
"20",1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,43
"21",1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,39
"22",1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,31
"23",1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,31
"24",1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,37
"25",1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,34
"26",1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,33
"27",1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,33
"28",1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,38
"29",1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,36
"30",1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,39
"31",1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,39
"32",1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,41
"33",1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,31
"34",1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,40
"35",1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,41
"36",1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,39
"37",1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,40
"38",1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,39
"39",1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,41
"40",1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,38
"41",1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,39
"42",1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,43
"43",1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,42
"44",1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,45
"45",1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,49
"46",1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,54
"47",1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,40
"48",1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,42
"49",1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,33
"50",1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,38
"51",1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,43
"52",1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,42
"53",1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,38
"54",1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,44
"55",1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,49
"56",1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,38
"57",1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,43
"58",1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,46
"59",1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,41
"60",1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,44
"61",1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,45
"62",1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,24
