"","log(WAGE)","SEX","EXPERIENCE","I(EXPERIENCE^2)","EDUCATION","as.factor(OCCUPATION)","UNION","zipcode"
"1",1.23465744451578,1,21,441,8,"6",0,94122
"2",1.77228615060382,1,42,1764,9,"6",0,43609
"3",1.12062403778235,0,1,1,12,"6",0,86023
"4",1.48129764224472,0,4,16,12,"6",0,95113
"5",1.58985238808937,0,17,289,12,"6",0,95826
"6",2.39079506862724,0,9,81,13,"6",1,32459
"7",2.37914209140479,0,27,729,10,"6",0,10016
"8",1.93833264673372,0,9,81,12,"6",0,15106
"9",2.08432693282445,0,11,121,16,"6",0,85701
"10",2.08998048998158,0,9,81,12,"6",0,51016
"11",2.51170537710725,0,17,289,12,"6",1,20005
"12",2.21047484277969,0,19,361,12,"6",1,92123
"13",1.73082282030914,0,27,729,8,"6",0,35802
"14",2.32692597251408,0,30,900,9,"6",1,54301
"15",2.11417063910339,0,29,841,9,"6",0,27707
"16",2.05708736408353,0,37,1369,12,"6",0,60423
"17",1.78637972347749,0,44,1936,7,"6",0,48912
"18",2.57885691441761,0,26,676,12,"6",1,70501
"19",2.06423796594224,0,16,256,11,"6",0,28150
"20",2.32229581802813,0,33,1089,12,"6",0,48653
"21",2.05203544460871,1,16,256,12,"6",1,46254
"22",1.77503615011229,0,42,1764,7,"6",1,17701
"23",2.2041666726912,0,9,81,12,"6",0,30093
"24",1.96399332948183,0,14,196,11,"6",0,23462
"25",2.23988422282119,0,23,529,12,"6",0,93291
"26",1.85284849534898,0,45,2025,6,"6",0,60062
"27",1.6016741551137,0,8,64,12,"6",0,77036
"28",1.90238951723078,0,30,900,10,"6",0,67214
"29",1.36013478895152,1,8,64,12,"6",0,17670
"30",2.03937946967344,0,8,64,12,"6",0,28202
"31",2.00895805942731,0,13,169,14,"6",0,79401
"32",2.07104924503952,1,46,2116,12,"6",0,62420
"33",1.89093736567312,0,19,361,8,"6",0,33901
"34",1.38189634827393,1,1,1,17,"6",0,92501
"35",2.18116552954078,0,19,361,12,"6",0,30071
"36",2.25209276995381,0,36,1296,12,"6",0,73564
"37",2.06648545336527,0,20,400,12,"6",0,21201
"38",2.47949522691445,0,35,1225,12,"6",1,44902
"39",2.08489455046606,0,3,9,12,"6",0,48124
"40",2.2004073972313,0,10,100,14,"6",0,80239
"41",2.11157563605185,0,0,0,12,"6",0,8855
"42",2.29788506112815,0,14,196,14,"6",1,40507
"43",1.79347442501705,0,14,196,12,"6",0,23502
"44",1.33395123980421,1,16,256,9,"6",0,2903
"45",1.41644391068053,0,8,64,13,"6",0,77011
"46",1.73266011898912,1,15,225,7,"6",0,77032
"47",2.21574956494209,0,12,144,16,"6",0,48892
"48",1.95648484944713,0,13,169,10,"6",0,85012
"49",1.83150187912649,0,33,1089,8,"6",1,11747
"50",2.21205169872213,0,9,81,12,"6",0,5403
"51",2.07895569392493,0,7,49,12,"6",0,40507
"52",2.65336395012443,0,13,169,16,"6",1,11729
"53",1.41001901123937,1,7,49,12,"6",0,53703
"54",1.77806443436953,1,16,256,12,"6",0,90017
"55",1.77302261440458,0,0,0,13,"6",0,39208
"56",1.89050009528732,1,11,121,12,"6",0,27823
"57",2.08107080009225,0,17,289,13,"6",0,13088
"58",1.71804306153117,0,13,169,10,"6",0,19139
"59",2.35286260955393,0,22,484,12,"6",1,2210
"60",1.67071352438106,1,28,784,12,"6",0,21076
"61",2.25891984546642,0,17,289,11,"6",0,40507
"62",2.35514236602392,0,24,576,12,"6",1,14221
"63",1.69639718206617,0,55,3025,3,"6",0,10048
"64",1.90861982245501,0,3,9,12,"6",0,36744
"65",2.33384542157554,0,6,36,12,"6",1,45236
"66",2.07904517601234,0,27,729,10,"6",0,91601
"67",2.1547478606987,0,19,361,12,"6",1,92126
"68",2.18650790404101,0,19,361,12,"6",1,3801
"69",2.09132244564819,1,38,1444,12,"6",0,11101
"70",1.89111915838746,0,41,1681,10,"6",1,37207
"71",1.99206296596282,0,3,9,11,"6",0,10013
"72",2.34059654932939,0,20,400,14,"6",1,79901
"73",1.73785101495548,0,15,225,10,"6",0,50472
"74",1.1824233244969,0,8,64,8,"6",0,33442
"75",2.08435790217498,1,39,1521,8,"6",0,77461
"76",1.59350509675291,1,43,1849,6,"6",1,35901
"77",2.21993540331065,1,25,625,11,"6",1,13206
"78",2.2338589641067,0,11,121,12,"6",1,41042
"79",2.27591695495512,0,12,144,12,"6",0,8854
"80",2.31418181631389,0,35,1225,12,"6",1,17401
"81",2.12324261050845,0,14,196,14,"6",0,33440
"82",2.43170493464625,0,16,256,12,"6",1,47458
"83",1.92847292359483,1,44,1936,10,"6",1,63366
"84",1.94816826858326,1,13,169,16,"6",0,2141
"85",2.31233472846172,0,8,64,13,"6",1,89119
"86",1.91382398934621,0,13,169,12,"6",0,75247
"87",2.44608535305736,0,18,324,11,"6",1,64108
"88",2.13639789715598,1,18,324,12,"6",0,53081
"89",1.64699323343754,1,6,36,12,"6",0,60607
"90",2.16659476377564,0,37,1369,11,"6",1,1840
"91",2.13798748147416,0,2,4,12,"6",0,33324
"92",2.30854690701114,0,23,529,12,"6",0,75234
"93",2.00303993989833,0,1,1,12,"6",0,73110
"94",1.8651897812744,1,10,100,12,"6",0,27601
"95",2.24981188828975,0,23,529,12,"6",0,95127
"96",1.8521693809371,0,8,64,12,"6",1,43081
"97",2.028524643157,1,9,81,15,"6",0,19020
"98",2.60827434954513,0,33,1089,12,"6",1,31401
"99",1.90871177147653,1,19,361,12,"6",0,19103
"100",2.00047340335605,0,14,196,13,"6",0,33165
"101",1.86134942038301,0,13,169,11,"6",1,52803
"102",0.908995168652952,0,12,144,10,"6",0,95926
"103",2.18836502256935,0,8,64,12,"6",0,89119
"104",2.18560793330738,0,23,529,12,"6",0,46563
"105",1.85173695196967,1,13,169,14,"6",0,39157
"106",2.09363725715618,0,9,81,12,"6",0,60062
"107",2.18538216776607,0,21,441,14,"6",1,71101
"108",1.12624398118062,0,44,1936,5,"6",0,85553
"109",2.0715326396023,0,4,16,12,"6",1,67330
"110",2.12940926023607,0,42,1764,8,"6",0,31213
"111",1.90600660049156,0,10,100,13,"6",1,19801
"112",1.64136503071839,0,11,121,12,"6",0,20008
"113",2.24685782886475,0,40,1600,12,"6",1,54303
"114",2.26777294581761,0,8,64,12,"6",0,29339
"115",2.16973674132964,0,29,841,11,"6",0,38654
"116",2.05246430208738,0,3,9,16,"6",1,63146
"117",2.0108565471337,0,11,121,11,"6",0,54487
"118",2.07033040327866,0,12,144,12,"6",1,90706
"119",2.28247788744262,1,22,484,8,"6",0,43215
"120",1.9804315625008,0,12,144,12,"6",0,79373
"121",2.14349577986822,0,7,49,12,"6",1,56501
"122",2.1938972473527,1,15,225,12,"6",0,20707
"123",2.24513026878182,0,28,784,12,"6",0,81212
"124",2.38846293969756,0,20,400,12,"6",1,43085
"125",1.95459044079397,0,6,36,12,"6",0,87109
"126",1.9329123995279,0,5,25,12,"6",0,91761
"127",1.72452299615566,1,30,900,9,"6",0,63104
"128",2.22452474080488,0,18,324,13,"6",0,76541
"129",1.38373741266162,1,6,36,12,"6",0,1109
"130",2.21131124964266,0,16,256,12,"6",0,23803
